,index,description,dir_name,num_snps_found,num_coding_snps_found,num_overlapping_snps,num_overlapping_loci,num_original_list,num_original_coding_snps,p_value_threshold,percentage_loci_recovered,ld_based_clumping,r2_threshold,kb_radius,window_size
6071,6071,Abdominal aortic aneurysm,phecode-442.11-both_sexes.tsv,2,1,0,1,1,0,3.497152452749294e-07,1.0,True,0.2,500,
6072,6072,Aneurysm of iliac artery,phecode-442.2-both_sexes.tsv,0,0,0,0,0,0,3.668804858416442e-07,1.0,True,0.2,500,
6073,6073,Aneurysm of artery of lower extremity,phecode-442.3-both_sexes.tsv,0,0,0,0,0,0,4.2264730504113643e-07,1.0,True,0.2,500,
6074,6074,Aneurysm of other specified artery,phecode-442.8-both_sexes.tsv,0,0,0,0,0,0,3.086398004345884e-07,1.0,True,0.2,500,
6076,6076,Raynaud's syndrome,phecode-443.1-both_sexes.tsv,1,0,0,0,1,0,4.208311724465574e-07,0.0,True,0.2,500,
6077,6077,Peripheral angiopathy in diseases classified elsewhere,phecode-443.7-both_sexes.tsv,0,0,0,0,0,0,3.1161232928663214e-07,1.0,True,0.2,500,
6078,6078,"Peripheral vascular disease, unspecified",phecode-443.9-both_sexes.tsv,1,0,0,1,5,0,3.339953023204697e-07,0.2,True,0.2,500,
6080,6080,Arterial embolism and thrombosis of lower extremity artery,phecode-444.1-both_sexes.tsv,1,0,0,1,1,0,2.976695002235218e-07,1.0,True,0.2,500,
6082,6082,Wegener's granulomatosis,phecode-446.4-both_sexes.tsv,1,1,0,1,1,0,3.577975728110978e-07,1.0,True,0.2,500,
6083,6083,Giant cell arteritis,phecode-446.5-both_sexes.tsv,2,0,0,3,4,0,4.415053611268825e-07,0.75,True,0.2,500,
6084,6084,Arteritis NOS,phecode-446.9-both_sexes.tsv,0,0,0,0,0,0,3.038411916581755e-07,1.0,True,0.2,500,
6086,6086,Stricture of artery,phecode-447.1-both_sexes.tsv,2,1,1,1,2,0,3.633938035191541e-07,0.5,True,0.2,500,
6090,6090,Phlebitis and thrombophlebitis of lower extremities,phecode-451.2-both_sexes.tsv,17,8,1,27,28,1,3.586771589283035e-07,0.9642857142857144,True,0.2,500,
6093,6093,Varicose veins of lower extremity,phecode-454.1-both_sexes.tsv,56,14,18,60,64,6,3.5007408974027765e-07,0.9375,True,0.2,500,
6094,6094,"Varicose veins of lower extremity, symptomtic",phecode-454.11-both_sexes.tsv,0,0,0,0,0,0,4.733787093997253e-07,1.0,True,0.2,500,
6099,6099,Orthostatic hypotension,phecode-458.1-both_sexes.tsv,0,0,0,0,0,0,3.774509492023461e-07,1.0,True,0.2,500,
6100,6100,Iatrogenic hypotension,phecode-458.2-both_sexes.tsv,0,0,0,0,0,0,3.918255669948336e-07,1.0,True,0.2,500,
6101,6101,Hypotension NOS,phecode-458.9-both_sexes.tsv,0,0,0,0,0,0,4.262690057970841e-07,1.0,True,0.2,500,
